User-Format Well ID, Top Depth (m), Bottom Depth (m), Coresponding Top Depth (m), Coresponding FTOP, Coresponding Bottom Depth (m), Coresponding FBTM
102/08-33-084-18W6/00, 166, 939.3, 0, ABOVE Kbfs, 936.8, Kbluesky
100/16-05-084-24W6/00, -1, 1212, 0, ABOVE Kbluesky, 1181.2, Jfernie
100/04-20-084-24W6/00, 1850, 2345, 1818.7, TRdoig, 1407, BELOW TRdoig_p
100/11-02-084-25W6/03, 1700, 4206.3, 1643.7, TRinga, 1407, BELOW TRdoig_p
100/09-22-084-25W6/00, 830, 1100.7, 670, Kwilrich, 1017, Kcadomin
100/08-09-085-14W6/00, 1625, 1781, 1398.2, TRmontney, 1407, BELOW TRdoig_p
100/08-09-085-14W6/02, 1625, 1781, 1398.2, TRmontney, 1407, BELOW TRdoig_p
102/16-01-085-18W6/00, 235, 1560, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
100/15-12-085-22W6/00, 362.7, 2106.5, 0, ABOVE Kspirit_r, 1407, BELOW TRdoig_p
100/15-12-085-22W6/02, 362.7, 2106.5, 0, ABOVE Kspirit_r, 1407, BELOW TRdoig_p
100/09-07-085-25W6/00, 360.7, 2371.6, 0, ABOVE Knotikwn, 2343.7, PRbelloy
100/14-31-086-18W6/00, 1060, 1596.6, 1056.5, Kgething, 1407, BELOW TRdoig_p
100/14-31-086-18W6/02, 1060, 1596.6, 1056.5, Kgething, 1407, BELOW TRdoig_p
100/14-31-086-18W6/03, 1060, 1596.6, 1056.5, Kgething, 1407, BELOW TRdoig_p
100/01-14-086-19W6/00, 301.7, 1947.5, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
100/01-14-086-19W6/02, 301.7, 1947.5, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
100/14-35-086-20W6/00, 306, 1948, 0, ABOVE Kbfs, 1923.5, Mdebolt_U
100/14-35-086-20W6/02, 306, 1948, 0, ABOVE Kbfs, 1923.5, Mdebolt_U
102/16-12-086-24W6/00, 20, 619, 0, ABOVE Ksikanni, 524.7, Kbuck_hrs
100/06-16-087-20W6/00, 1500, 1700, 1461.2, TRn_pine, 1676.4, TRmontney
100/06-16-087-20W6/02, 1500, 1700, 1461.2, TRn_pine, 1676.4, TRmontney
102/06-05-087-23W6/00, 35, 1635.5, 0, ABOVE Knotikwn, 1621.4, TRcpln_uc
102/06-05-087-23W6/02, 35, 1635.5, 0, ABOVE Knotikwn, 1621.4, TRcpln_uc
102/06-05-087-23W6/03, 35, 1635.5, 0, ABOVE Knotikwn, 1621.4, TRcpln_uc
102/06-05-087-23W6/04, 35, 1635.5, 0, ABOVE Knotikwn, 1621.4, TRcpln_uc
102/13-16-087-23W6/00, 610.6, 1901.1, 0, ABOVE Kpeace_rv, 1819.2, TRmontney
102/06-18-087-23W6/00, 258.5, 1627, 0, ABOVE Knotikwn, 1618, TRcpln_uc
100/01-19-087-23W6/00, 1009.6, 2109.6, 875, Kspirit_r, 1888, TRmontney
100/04-29-087-23W6/00, 1100, 1875, 0, ABOVE Kbluesky, 1826, TRdoig_ss
102/12-31-087-23W6/00, 25, 1600, 0, ABOVE Kpeace_rv, 1584, TRbndrylk
102/12-06-087-24W6/00, 361.2, 2192, 0, ABOVE Kbluesky, 1407, BELOW TRdoig_p
100/15-11-087-25W6/02, 1440, 1718, 0, ABOVE PRbelloy, 1750, TRdoig_p
100/03-27-088-14W6/00, 249.7, 1652.9, 0, ABOVE Kshftbury, 1623.8, Mdebolt
100/03-27-088-14W6/02, 249.7, 1652.9, 0, ABOVE Kshftbury, 1623.8, Mdebolt
100/03-27-088-14W6/03, 249.7, 1652.9, 0, ABOVE Kshftbury, 1623.8, Mdebolt
100/06-29-088-14W6/00, 224.5, 1352.3, 0, ABOVE Kshftbury, 1332.5, TRmontney
100/09-13-088-15W6/00, 225.1, 1384.3, 0, ABOVE Kshftbury, 1327.3, TRmontney
100/09-13-088-15W6/02, 225.1, 1384.3, 0, ABOVE Kshftbury, 1327.3, TRmontney
102/09-33-088-18W6/00, 1007, 1014, 995.3, Kgething, 1011.8, Kdunlevy
102/09-33-088-18W6/02, 1007, 1014, 995.3, Kgething, 1011.8, Kdunlevy
100/16-08-088-19W6/00, 1110, 1210, 1011.9, Kwilrich, 1207, Jnordegg
100/16-08-088-19W6/02, 1110, 1210, 1011.9, Kwilrich, 1207, Jnordegg
100/08-13-088-19W6/00, -1, 1407.3, 0, ABOVE Kbfs, 1385.4, TRdoig
100/15-06-088-21W6/00, 275, 1738.8, 0, ABOVE Kbfs, 1725.2, TRmontney
100/15-06-088-21W6/02, 275, 1738.8, 0, ABOVE Kbfs, 1725.2, TRmontney
100/05-07-088-22W6/00, 272.6, 1772, 0, ABOVE Kbfs, 1762, TRmontney
100/05-07-088-22W6/02, 272.6, 1772, 0, ABOVE Kbfs, 1762, TRmontney
100/16-10-088-23W6/00, 1650, 1890.5, 1592.4, TRn_pine, 1818.5, TRmontney
100/02-23-088-23W6/00, 1300, 1841.5, 1299.7, Jfernie, 1407, BELOW TRdoig_p
100/04-08-088-24W6/00, 629.2, 2043.9, 0, ABOVE Kbluesky, 1407, BELOW TRdoig_p
100/07-29-088-25W6/00, 200, 1118, 0, ABOVE Kbluesky, 1112, Jfernie
100/11-29-088-25W6/00, 177, 1165, 0, ABOVE Kbluesky, 1407, BELOW TRdoig_p
200/c-095-F 082-G-10/00, 111.5, 876.1, 87, Jelk, 348, Jmist_mtn
200/b-098-F 082-G-10/00, 111, 1100, 0, ABOVE KblairmrL, 720, Jmist_mtn
