User-Format Well ID, Top Depth (m), Bottom Depth (m), Coresponding Top Depth (m), Coresponding FTOP, Coresponding Bottom Depth (m), Coresponding FBTM
100/08-22-010-04W5/00, 3375, 4725, 3256, Jfernie, 4001, Mbanff
100/01-08-011-13W4/00, 5, 895, 0, ABOVE Kmilk_rv, 790, Kmannvl
102/13-17-011-13W4/00, 183, 464, 122.3, Kmilk_rv, 267.8, Kmed_hat
100/12-28-011-15W4/00, 25, 788, 0, ABOVE Kmilk_rv, 685.5, Kbi_ss
100/06-30-011-16W4/00, 90, 369.9, 0, ABOVE Kmilk_rv, 334.2, Kcolorado
100/09-02-011-17W4/00, 10, 1000, 0, ABOVE Ksunburst, 989.5, Ksunburst
100/02-33-011-17W4/00, 775, 1080, 765, Kbi_ss, 1065.4, Mlivngstn
100/10-32-011-20W4/00, 1094, 1647.5, 1031.6, K2ws_ss, 1627.5, Ksunburst
100/15-10-011-25W4/00, 300, 1000, 0, ABOVE Kbelly_rv, 983.7, Kpakowki
100/05-01-011-26W4/00, 277.9, 2255, 0, ABOVE Kbelly_rv, 2238.8, Jrierdon
100/15-25-011-26W4/00, 326.1, 2147.3, 0, ABOVE Kbelly_rv, 2108.4, Mlivngstn
100/11-27-011-26W4/00, 605.7, 1795, 0, ABOVE Kbelly_rv, 1762.7, K2ws_ss
100/09-35-011-26W4/00, 300, 1000, 0, ABOVE Kbearpaw, 753.1, Kbelly_rv
100/07-15-011-27W4/00, 50, 350, 0, ABOVE Kmilk_r_L, 2321, Jnikanssn_p
100/16-17-011-27W4/00, 614.6, 2531, 0, ABOVE Kmilk_rv, 2503.6, Ksunburst
102/02-19-011-03W5/00, 104, 525, 0, ABOVE Kcadomin, 436.6, Kcadomin
102/10-28-012-05W4/00, 25, 625, 0, ABOVE Kmannvl, 430, Kmed_hat_p
102/04-34-012-05W4/00, 50, 700, 0, ABOVE Kglauc_ss, 670, Kbelly_rv_p
100/09-36-012-13W4/00, 394, 953, 320, Kcolorado, 944, Jsawtooth
100/13-16-012-14W4/00, 341, 1262, 245.6, Kmilk_rv, 1245, Dstettler
100/05-23-012-15W4/00, 175, 1350, 0, ABOVE Kmilk_rv, 1278, Dstettler
100/16-21-012-17W4/00, 14, 750, 0, ABOVE Kpakowki, 731.9, Kbfs
100/05-23-012-17W4/00, 25, 700, 0, ABOVE K2nd_ws, 647.9, K2ws_ss
100/04-36-012-17W4/00, 231.5, 1048.7, 0, ABOVE Kmilk_rv, 1039.6, Mlivngstn
100/10-36-012-18W4/00, 10, 1075, 0, ABOVE Kpakowki, 1059.1, Ksunburst
100/11-11-012-20W4/00, 220, 1220, 0, ABOVE Kpakowki, 1181, Mlivngstn
100/06-20-012-20W4/00, 225, 1250, 0, ABOVE Kmed_hat, 1044.1, Kmannvl
100/16-17-012-21W4/00, 279.3, 1359.4, 0, ABOVE Kmilk_r_L, 951, K2ws_ss
100/11-10-012-28W4/00, 480, 2165.5, 0, ABOVE Kbelly_rv, 1911.2, Kmed_hat
100/01-16-012-29W4/00, 612, 3307.4, 0, ABOVE Jrierdon_p, 977, Mrundle_p
100/06-07-012-01W5/00, 617, 2825, 0, ABOVE Kbelly_rv, 1746.8, Kbelly_rv
100/11-07-012-01W5/00, 550, 2225, 0, ABOVE Kbelly_rv, 1654, Kbelly_rv
100/08-13-012-02W5/00, 649.5, 2865, 0, ABOVE Klea_park, 2817.4, Klea_park
100/10-13-012-02W5/00, 611.4, 2427.4, 0, ABOVE Kbelly_rv, 2376.8, Kbelly_rv
100/14-13-012-02W5/00, 624, 2585, 0, ABOVE Kbelly_rv, 2565.8, Klea_park
100/03-24-012-02W5/00, 625, 2725, 0, ABOVE Kbelly_rv, 2420.9, Kbelly_rv
100/13-24-012-02W5/00, 600, 2800, 0, ABOVE Kbelly_rv, 2718.6, Kbelly_rv
100/15-24-012-02W5/00, 598.6, 2411.4, 0, ABOVE Kbelly_rv, 2319.8, Klea_park
100/03-25-012-02W5/00, 575, 1575, 0, ABOVE Kbelly_rv, 1557, Kbelly_rv
100/03-18-012-03W5/00, 25, 880, 0, ABOVE Kcadomin, 767.1, Jfernie
100/01-19-013-04W4/00, 143.3, 620.7, 0, ABOVE Kmilk_rv, 598.5, Kbfs
100/13-06-013-14W4/00, 9.5, 309.5, 0, ABOVE Kbow_isl, 2593, Kcadomin_p
103/01-33-013-14W4/00, 25, 998, 0, ABOVE Kpakowki, 2837, BELOW Mturner_v_p
100/10-22-013-15W4/00, 10, 1351.9, 0, ABOVE K2ws_ss, 696, Kbow_isl
100/02-07-013-16W4/00, 226.2, 1080, 0, ABOVE Kpakowki, 997.7, Kglauc_ss
100/04-18-013-16W4/00, 226.4, 1051.5, 0, ABOVE Kmed_hat, 875.9, Kmannvl
100/13-30-013-16W4/00, 4, 1375, 0, ABOVE Kcolorado, 1302, Dstettler
102/01-03-013-17W4/00, 226.1, 1107.8, 0, ABOVE Kbsl_colo, 901.1, Kbsl_colo
102/02-12-013-17W4/00, 236.1, 1200.5, 0, ABOVE Kpakowki, 1181.4, Ksunburst
102/06-25-013-17W4/00, 25, 1072, 0, ABOVE Kmilk_rv, 1071.8, Mlivngstn
100/16-22-013-19W4/00, 800, 1124, 753, K2nd_ws, 1113, Kglauc_ss
